sample_id,config,accurate,latency,cost,tree_cost,has_tree
multihop-202,A1,0.0,2.5902161598205566,0.00020334,0.0,0
multihop-203,A1,1.0,1.6500930786132812,0.00017082,0.0,0
multihop-204,A1,0.0,2.5547938346862793,0.00021954,0.0,0
multihop-205,A1,0.0,2.2941386699676514,0.00017568,0.0,0
multihop-206,A1,1.0,3.3679120540618896,0.00018024,0.0,0
multihop-207,A1,1.0,3.1439268589019775,0.00019086,0.0,0
multihop-208,A1,0.0,1.4495368003845215,0.00021324,0.0,0
multihop-209,A1,1.0,2.074632167816162,0.00020574,0.0,0
multihop-210,A1,1.0,3.18666410446167,0.00021179999999999997,0.0,0
multihop-211,A1,1.0,0.7892000675201416,0.00017088,0.0,0
multihop-212,A1,0.0,4.948376893997192,0.0001773,0.0,0
multihop-213,A1,0.0,1.62221097946167,0.00020591999999999998,0.0,0
multihop-214,A1,0.0,2.264404058456421,0.00022002,0.0,0
multihop-215,A1,1.0,1.751392126083374,0.00015186,0.0,0
multihop-216,A1,0.0,6.125672101974487,0.00020838,0.0,0
multihop-217,A1,1.0,7.5358452796936035,0.00020892,0.0,0
multihop-218,A1,0.0,8.942436695098877,0.00019823999999999997,0.0,0
multihop-219,A1,1.0,7.681980848312378,0.00022235999999999998,0.0,0
multihop-220,A1,1.0,1.8589439392089844,0.0002214,0.0,0
multihop-221,A1,0.0,1.727449893951416,0.00014484000000000003,0.0,0
multihop-222,A1,1.0,1.5271737575531006,0.00016397999999999996,0.0,0
multihop-223,A1,1.0,2.3527841567993164,0.00017573999999999997,0.0,0
multihop-224,A1,0.0,0.6964879035949707,0.00021791999999999997,0.0,0
multihop-225,A1,0.0,9.281377077102661,0.00020682,0.0,0
multihop-226,A1,1.0,5.777408123016357,0.00019998000000000002,0.0,0
multihop-227,A1,1.0,5.210532188415527,0.00017502,0.0,0
multihop-228,A1,1.0,1.572948932647705,0.0001941,0.0,0
multihop-229,A1,0.0,8.91615080833435,0.00017892,0.0,0
multihop-230,A1,1.0,5.8445680141448975,0.00020814,0.0,0
multihop-231,A1,1.0,1.1361830234527588,0.00021407999999999998,0.0,0
